Reporting year,District code,District name,School code,District or school name,Subject,Grade level,Participating with accommodations,Participating without accommodations,
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,RD,03,"8,065","6,768",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,RD,04,"8,874","6,189",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,RD,05,"8,961","5,550",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,RD,06,"9,110","4,673",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,RD,07,"9,383","4,317",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,RD,08,"9,292","4,407",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,RD,10,"8,168","4,147",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,MA,03,"9,376","5,437",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,MA,04,"10,353","4,699",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,MA,05,"10,405","4,112",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,MA,06,"10,169","3,609",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,MA,07,"10,143","3,552",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,MA,08,"10,062","3,635",
2023,NC,State of North Carolina,NC-SEA,State of North Carolina,MA,11,"6,029","3,135",
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,RD,03,143,46,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,RD,04,154,39,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,RD,05,140,33,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,RD,06,153,54,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,RD,07,150,44,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,RD,08,149,43,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,RD,10,156,17,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,MA,03,155,34,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,MA,04,163,29,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,MA,05,152,22,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,MA,06,188,19,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,MA,07,178,15,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,MA,08,179,14,
2023,010,Alamance-Burlington Schools,010LEA,Alamance-Burlington Schools,MA,11,125,27,
2023,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,RD,10,*,*,
2023,010,Alamance-Burlington Schools,010303,ABSS Early College at ACC,MA,11,*,*,
